iter	Passed	Remaining
0	72	8550
1	142	8326
2	211	8178
3	287	8251
4	354	8090
5	429	8080
6	503	8060
7	585	8121
8	660	8073
9	737	8037
10	816	8013
11	889	7932
12	965	7870
13	1046	7846
14	1144	7934
15	1240	7986
16	1328	7973
17	1413	7929
18	1494	7866
19	1591	7875
20	1681	7846
21	1841	8119
22	1923	8030
23	2001	7922
24	2086	7844
25	2163	7740
26	2242	7641
27	2335	7591
28	2428	7536
29	2517	7469
30	2605	7395
31	2689	7311
32	2781	7248
33	2865	7164
34	2955	7092
35	3050	7032
36	3138	6954
37	3228	6881
38	3313	6796
39	3409	6733
40	3502	6663
41	3582	6567
42	3660	6469
43	3748	6389
44	3830	6299
45	3913	6209
46	4002	6131
47	4083	6040
48	4164	5949
49	4253	5870
50	4345	5793
51	4438	5718
52	4532	5644
53	4629	5572
54	4721	5494
55	4814	5415
56	4919	5351
57	5012	5272
58	5102	5188
59	5182	5096
60	5275	5016
61	5363	4931
62	5454	4848
63	5593	4807
64	5690	4727
65	5770	4634
66	5864	4551
67	5959	4469
68	6054	4386
69	6144	4301
70	6241	4219
71	6333	4134
72	6428	4051
73	6535	3974
74	6631	3890
75	6720	3802
76	6805	3712
77	6891	3622
78	6987	3537
79	7067	3445
80	7150	3354
81	7234	3264
82	7321	3175
83	7413	3089
84	7508	3003
85	7600	2916
86	7694	2830
87	7794	2745
88	7890	2659
89	7983	2572
90	8076	2485
91	8176	2399
92	8267	2311
93	8352	2221
94	8438	2131
95	8524	2042
96	8604	1951
97	8688	1861
98	8771	1771
99	8855	1682
100	8938	1592
101	9020	1503
102	9102	1414
103	9182	1324
104	9265	1235
105	9346	1146
106	9434	1058
107	9524	970
108	9607	881
109	9694	793
110	9783	705
111	9869	616
112	9954	528
113	10036	440
114	10122	352
115	10204	263
116	10288	175
117	10372	87
118	10455	0
